ID,Question,Human Annotator,GPT-4o Answer, GPT-4o Description (using LTL.txt prompt), "Compare (first formula is gpt4o, second formula is human)"
LTL_dev_1,"Every time hunger strikes, eating eventually follows.", "G(hunger -> F eating)", "G(hunger -> F eating)", "{'Every time': 'G', 'hunger strikes': 'hunger', 'eating eventually follows': 'F eating', 'hunger eventually followed by eating': 'hunger -> F eating'}", equivalent
LTL_dev_2,"It's never the case that rain and sunshine occur at the same time.","","G(!(rain & sunshine))", "{'It's never the case that': 'G(!', 'rain and sunshine': 'rain & sunshine', 'occur at the same time': 'rain & sunshine'}", equivalent
LTL_dev_3,"Whenever the engine starts, acceleration kicks in three steps later.","","G(engine_starts -> XXX(acceleration))", "{'Whenever': 'G', 'the engine starts': 'engine_starts', 'acceleration kicks in three steps later': 'XXX(acceleration)'}", equivalent
LTL_dev_4,"I am a student must hold everywhere until from some point on, I am graduated holds infinitely often.","","G(student) U GF(graduated)", "{'I am a student must hold everywhere': 'G(student)', 'until': 'U', 'from some point on': 'until', 'I am graduated holds infinitely often': 'GF(graduated)'}", equivalent
LTL_dev_5,"Whenever an exam is scheduled, studying occurs beforehand.","","G(studying U exam_scheduled)", "{'Whenever': 'G', 'an exam is scheduled': 'exam_scheduled', 'studying occurs beforehand': 'studying U exam_scheduled'}", The two formulas are disjoint.
LTL_dev_6,"If it's nighttime, then sleeping occurs.","","G(nighttime -> sleeping)", "{'If': '->', 'it's nighttime': 'nighttime', 'then sleeping occurs': 'sleeping', 'If it's nighttime, then sleeping occurs': 'nighttime -> sleeping'}", equivalent
LTL_dev_7,"Both the sun is shining and the birds are chirping in every time step.","","G(sun_shining & birds_chirping)", "{'Both': '&', 'the sun is shining': 'sun_shining', 'the birds are chirping': 'birds_chirping', 'in every time step': 'G'}", equivalent
LTL_dev_8,"The sun shines always, and whenever the birds sing, the cats don't meow.","","G(sun_shining) & G(birds_singing -> !cats_meowing)", "{'The sun shines always': 'G(sun_shining)', 'whenever': '->', 'the birds sing': 'birds_singing', 'the cats don't meow': '!cats_meowing', 'whenever the birds sing, the cats don't meow': 'G(birds_singing -> !cats_meowing)'}", equivalent
LTL_dev_9,"If it is the case that every emission test is eventually passed, then good air quality needs to holds infinitely often.","","G(emission_test -> F passed) -> GF good_air_quality", "{'If it is the case that': '->', 'every': 'G', 'eventually': 'F', 'emission test': 'emission_test', 'passed': 'passed', 'good air quality': 'good_air_quality', 'needs to hold infinitely often': 'GF good_air_quality'}", equivalent
LTL_dev_10,"If Mark loves Stacy infinitely often, then Stacey loves Mark holds infinitely often as well.","","GF Mark_loves_Stacy -> GF Stacy_loves_Mark", "{'If': '->', 'infinitely often': 'GF', 'Mark loves Stacy': 'Mark_loves_Stacy', 'Stacy loves Mark': 'Stacy_loves_Mark'}", equivalent
