Natural Language,Formula,GPT-4.0,Description, More
"Every a is eventually followed by an e.","G(a -> F e)","G(a -> F e)", "{'Every': 'G', 'eventually': 'F, 'a': 'a', 'e': 'e', 'a followed by an e': 'a -> e', 'a eventually followed by an e': 'a -> F e'}", "equivalent"
"It is never the case that a and b hold at the same time.","G(!(a & b))",  "G(!(a & b))","{'It is never the case': 'G(!', 'a': 'a', 'b': 'b', 'a and b hold at the same time': 'a & b', 'It is never the case that a and b hold at the same time': 'G(!(a & b))'}","equivalent"
"Whenever a is enabled, b is enabled three steps later.","G(a -> X (X (X b)))","G(a -> X(X(X(b))))", "{'Whenever a is enabled': 'G(a -> ...)', 'b is enabled three steps later': 'X(X(X(b)))', 'G(a -> X(X(X(b))))'}","equivalent"
"e must hold everywhere until from some point on, d holds infinitely often.","e U (G (F d))","G(e U p)","","incomparable"
"If b holds at some point, a has to hold somewhere beforehand.","(F b) -> (!b U (a & !b))","F b -> (a U b)","","incomparable"
"Whenever a holds, b holds as well.","G(a -> b)","G(a -> b)","","equivalent"
"Both a and b hold in every time step.","G (a & b)","G(a & b)","","equivalent"
"a holds always and whenever b holds, c does not hold.","G a & G(b -> !c)","G(a) & G(b -> !c)","","equivalent"
"If it is the case that every a is eventually followed by a b, then c needs to holds infinitely often.","G(a -> F b) -> G F c","G(a -> F b) -> GF(c)","","equivalent"
"If a holds infinitely often, then b holds infinitely often as well.","G F a -> G F b","GF(a) -> GF(b)","","equivalent"
"Either a or b holds infinitely often","G F a || G F b","GF(a) | GF(b)","","equivalent"
"a never holds from some point in time on.","F G ! a","F(G(!a))","","equivalent"
"Whenever a and b do not hold, c holds eventually.","G (!(a & b) -> F c)","G(!(a & b) -> F(c))","","equivalent"
"a and b never occur at the same time but one of them holds in every time step.","G(!(a &b)) & G(a || b)","G(!(a & b)) & G(a | b)","","equivalent"
"Whenever the inputs a and b are the same, the outputs c and d are the same.","G ((a <-> b) -> (c <-> d))","G(a <-> b -> c <-> d)","","The first formula covers the second one, and the second formula is covered by the first one. "
"a can only happen if b happened before.","(! a) U b","G(a -> F b)","","incomparable"
"Once a happened, b won't happen again.","G (a -> X G ! b)","G(a -> G(!b))","","The first formula covers the second one, and the second formula is covered by the first one. "
"a releases b.","(b U (b & ! a)) | G b","a R b","","incomparable"
"a and b won't occur at the same time.","G !(a & b)","G(!(a & b))","","equivalent"
"Whenever a holds and b holds in the next step, then c holds one step after b.","G (a && X b -> X X c)", "G (a -> X (b -> X c) ", ,Equivalent
"Whenever a holds, b holds eventually from the next step on.","G (a -> X F b)","G(a -> F(X b))","","equivalent"
"a holds in every fifth step.","a & G (a -> X ! a & X X ! a & X X X ! a & X X X X ! a & X X X X X a)","G(X X X X X a)","","disjoint"
"Either a holds infinitely often or b holds in the next step.","G F a || X b","GF a | X b","","equivalent"
"a will hold at all instances.","G (a)","G a","","equivalent"
"Whenever a holds, b must hold in the next two steps.","G (a -> (b | X b))","G(a -> (X b & X X b))","","The first formula covers the second one, and the second formula is covered by the first one."
"If a holds b will eventually hold.","G (a -> F b)","a -> F b","","The first formula covers the second one, and the second formula is covered by the first one."
"a must always hold, but if is exceeds, it allow two timestamps to recover.","! G (! (a & X a))","G a & G(!a -> (X a | XX a))","","The first formula covers the second one, and the second formula is covered by the first one."
"not a holds at most two timestamps.","! G (! (a & X a))","G(!(XX !a & X !a))","","incomparable"
"a can only hold every three timestamps.","G ( a -> (X !a | XX !a | XXX !a))","G(a -> X(!a & X(!a & X(!a))))","","The first formula covers the second one, and the second formula is covered by the first one."
"Every a is followed by a b.","G ( a -> X b)","G(a -> F b)","","The first formula covers the second one, and the second formula is covered by the first one."
"Eventually a and b hold.","F (a & b)","F(a & b)","","equivalent"
"Both a and b hold eventually.","F a & F b","F a & F b","","equivalent"
"It is always the case that a is the same as b in the next step.","G (a <-> X b)","G(a <-> X b)","","equivalent"
"If b holds then, in the next step, c holds until a holds or always c holds.","b -> X ((c U a) || G c)","b -> X(c U a | G c)","","equivalent"
"a holds until b holds or always a holds.", "(a U b) || G a", "a U b | G a", "", "equivalent"
"One of the following aps will hold at all instances: a,b,c.", "G (a | b | c)", "G(a | b | c)", "", "equivalent"

