Natural Language,Formula,GPT-4.0, More
"Every a is eventually followed by an e.","G(a -> F e)",G (a -> F e),equivalent
"It is never the case that a and b hold at the same time.","G(!(a & b))", G(!(a & b)),equivalent
"Whenever a is enabled, b is enabled three steps later.","G(a -> X (X (X b)))",G(a -> X(X(X b))),e
"e must hold everywhere until from some point on, d holds infinitely often.","e U (G (F d))",G(e) U GF(d),e
"If b holds at some point, a has to hold somewhere beforehand.","(F b) -> (!b U (a & !b))",G(b -> F(a)),
"Whenever a holds, b holds as well.","G(a -> b)",G(a -> b),e
"Both a and b hold in every time step.","G (a & b)",,e
"a holds always and whenever b holds, c does not hold.","G a & G(b -> !c)",,e
"If it is the case that every a is eventually followed by a b, then c needs to holds infinitely often.","G(a -> F b) -> G F c",,e
"If a holds infinitely often, then b holds infinitely often as well.","G F a -> G F b",,e
"Either a or b holds infinitely often","G F a || G F b",GF(a) | GF(b),e
"a never holds from some point in time on.","F G ! a",F(G(!a)),e
"Whenever a and b do not hold, c holds eventually.","G (!(a & b) -> F c)",G((!a & !b) -> F c),e
"a and b never occur at the same time but one of them holds in every time step.","G(!(a &b)) & G(a || b)",G(!(a & b)) & G(a | b),e
"Whenever the inputs a and b are the same, the outputs c and d are the same.","G ((a <-> b) -> (c <-> d))",G((a <-> b) -> (c <-> d)),e
"a can only happen if b happened before.","(! a) U b",G(a -> F(b)),
"Once a happened, b won't happen again.","G (a -> X G ! b)",G(a -> G(!b)),
"a releases b.","(b U (b & ! a)) | G b",b R a,
"a and b won't occur at the same time.","G !(a & b)",G(!(a & b)),e
"Whenever a holds and b holds in the next step, then c holds one step after b.","G (a && X b -> X X c)",G(a & X(b) -> X(X(c))),e
"Whenever a holds, b holds eventually from the next step on.","G (a -> X F b)",G(a -> X(F b)),e
"a holds in every fifth step.","a & G (a -> X ! a & X X ! a & X X X ! a & X X X X ! a & X X X X X a)",G(a -> X(X(X(X(X a))))),
"Either a holds infinitely often or b holds in the next step.","G F a || X b",GF(a) | G(X b),
"a will hold at all instances.","G (a)",G(a),e
"Whenever a holds, b must hold in the next two steps.","G (a -> (b | X b))",G(a -> (X b & X(X b))),
"If a holds b will eventually hold.","G (a -> F b)",G(a -> F b),e
"a must always hold, but if is exceeds, it allow two timestamps to recover.","! G (! (a & X a))",G(a) | G((!a & X(!a)) -> X(X a)),
"not a holds at most two timestamps.","! G (! (a & X a))",G(!a -> X(!a -> X(a))),
"a can only hold every three timestamps.","G ( a -> (X !a | XX !a | XXX !a))",G(a -> X(!a & X(!a & X(!a)))),
"Every a is followed by a b.","G ( a -> X b)",G(a -> X b),e
"Eventually a and b hold.","F (a & b)",F(a & b),e
"Both a and b hold eventually.","F a & F b",F a & F b,e
"It is always the case that a is the same as b in the next step.","G (a <-> X b)",G (a <-> X b),e
"If b holds then, in the next step, c holds until a holds or always c holds.","b -> X ((c U a) || G c)",G (b -> X (c U (a | G c))),
"a holds until b holds or always a holds.", "(a U b) || G a",(a U b) | G a ,e
"One of the following aps will hold at all instances: a,b,c.", "G (a | b | c)",G(a | b | c).,e

